This is Ipopt version 3.13.4, running with linear solver mumps.
NOTE: Other linear solvers might be more efficient (see Ipopt documentation).

Number of nonzeros in equality constraint Jacobian...:     1536
Number of nonzeros in inequality constraint Jacobian.:        0
Number of nonzeros in Lagrangian Hessian.............:        0

Total number of variables............................:       96
                     variables with only lower bounds:        0
                variables with lower and upper bounds:       90
                     variables with only upper bounds:        0
Total number of equality constraints.................:       16
Total number of inequality constraints...............:        0
        inequality constraints with only lower bounds:        0
   inequality constraints with lower and upper bounds:        0
        inequality constraints with only upper bounds:        0

iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
   0  1.0000000e+00 4.81e-02 0.00e+00   0.0 0.00e+00    -  0.00e+00 0.00e+00   0
   1  1.0000000e+00 3.44e-02 2.44e+01  -5.6 9.91e-02    -  9.65e-01 5.71e-01h  1
   2  1.0000000e+00 2.42e-02 1.33e+02  -2.0 2.01e-01    -  9.94e-01 3.41e-01h  1
   3  1.0000000e+00 1.13e-01 2.07e+02  -2.5 2.28e-01    -  9.73e-01 1.00e+00h  1
   4  1.0000000e+00 1.23e-01 4.00e+01  -2.6 2.16e-01    -  1.00e+00 1.00e+00h  1
   5  1.0000000e+00 3.10e-02 1.48e+02  -2.6 8.00e-02    -  1.00e+00 1.00e+00h  1
   6  1.0000000e+00 1.76e-02 2.15e+01  -3.1 7.48e-02    -  1.00e+00 1.00e+00h  1
   7  1.0000000e+00 1.13e-01 3.79e+01  -2.8 1.65e-01    -  1.00e+00 1.00e+00h  1
   8  1.0000000e+00 6.73e-02 2.11e+00  -3.0 1.62e-01    -  4.06e-01 1.00e+00h  1
   9  1.0000000e+00 2.25e-02 6.80e+00  -3.0 4.58e-02    -  1.00e+00 6.88e-01h  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
  10  1.0000000e+00 2.89e-02 3.37e+01  -3.0 6.35e-02    -  1.00e+00 1.00e+00h  1
  11  1.0000000e+00 1.34e-02 3.84e+01  -3.0 1.43e-02    -  1.00e+00 1.00e+00h  1
  12  1.0000000e+00 6.95e-03 9.91e+01  -3.8 1.31e-01    -  9.90e-01 5.31e-01H  1
  13  1.0000000e+00 3.51e-03 1.08e+02  -4.4 8.85e-02    -  1.00e+00 5.59e-01h  1
  14  1.0000000e+00 2.90e-03 7.49e+01  -4.0 8.69e-02    -  1.00e+00 3.67e-01h  2
  15  1.0000000e+00 2.05e-03 3.56e+01  -3.7 5.04e-02    -  1.00e+00 9.24e-01h  1
  16  1.0000000e+00 1.06e-03 5.97e+01  -4.0 3.53e-02    -  1.00e+00 5.65e-01h  1
  17  1.0000000e+00 7.87e-04 3.67e+01  -4.0 5.29e-02    -  1.00e+00 2.66e-01h  1
  18  1.0000000e+00 8.23e-04 4.94e+01  -4.7 1.32e-01    -  1.00e+00 1.21e-01h  2
  19  1.0000000e+00 6.32e-04 4.04e+01 -10.3 1.84e-01    -  6.04e-01 3.03e-01h  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
  20  1.0000000e+00 5.61e-04 3.46e+01  -3.7 1.86e-01    -  1.40e-01 1.32e-01h  1
  21  1.0000000e+00 5.48e-04 1.67e+01  -5.0 2.74e-01    -  1.00e+00 2.28e-02h  1
  22  1.0000000e+00 4.78e-04 1.50e+01  -4.4 2.84e-01    -  1.00e+00 1.30e-01h  1
  23  1.0000000e+00 3.99e-04 1.48e+01  -4.7 4.19e-01    -  1.00e+00 1.72e-01h  1
  24  1.0000000e+00 3.62e-04 9.35e+01  -2.9 1.06e+00    -  1.00e+00 1.07e-01f  1
  25  1.0000000e+00 8.49e-04 3.09e+02  -3.0 7.52e-02    -  1.00e+00 1.00e+00f  1
  26  1.0000000e+00 1.04e-03 6.91e+02  -3.0 7.61e-02    -  1.00e+00 9.55e-01h  1
  27  1.0000000e+00 7.38e-04 2.60e+02  -3.0 3.75e-02    -  4.82e-01 4.56e-01f  1
  28  1.0000000e+00 5.30e-04 1.57e+02  -3.0 4.14e-02    -  2.32e-01 4.58e-01h  1
  29  1.0000000e+00 4.05e-04 1.55e+02  -3.0 3.94e-02    -  1.00e+00 4.66e-01h  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
  30  1.0000000e+00 3.93e-04 3.39e+03  -4.0 8.42e-02    -  1.00e+00 3.71e-02h  1
  31  1.0000000e+00 3.83e-04 1.44e+04  -4.8 1.88e-01    -  1.00e+00 3.55e-02h  2
  32  1.0000000e+00 3.67e-04 4.83e+04  -2.7 4.18e-01    -  1.00e+00 5.15e-02h  2
  33  1.0000000e+00 3.65e-04 1.76e+04  -3.0 1.74e-01    -  1.00e+00 1.89e-02h  6
  34  1.0000000e+00 3.33e-04 1.96e+04  -2.3 1.76e-01    -  4.49e-01 1.09e-01h  2
  35  1.0000000e+00 3.20e-04 4.20e+04  -3.5 1.71e-01    -  1.00e+00 5.30e-02h  2
  36  1.0000000e+00 3.07e-04 1.08e+05  -4.1 1.93e-01    -  1.00e+00 3.95e-02h  1
  37  1.0000000e+00 2.90e-04 8.42e+05  -1.8 1.35e+00    -  1.00e+00 7.02e-02h  1
  38  1.0000000e+00 2.67e-04 2.76e+05  -1.6 1.49e+00    -  1.00e+00 7.75e-02h  1
  39  1.0000000e+00 2.65e-04 2.87e+05  -2.0 7.53e-01    -  1.00e+00 7.83e-03h  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
  40  1.0000000e+00 2.65e-04 6.36e+05  -1.9 2.97e-01    -  1.00e+00 6.51e-03h  5
  41  1.0000000e+00 2.49e-04 3.92e+05  -1.9 2.45e-01    -  4.38e-01 9.10e-02h  1
  42  1.0000000e+00 2.48e-04 1.67e+06  -1.9 3.04e-01    -  4.78e-01 7.03e-04H  1
  43  1.0000000e+00 2.31e-04 2.19e+06  -1.1 1.86e-01    -  9.77e-01 9.72e-02f  4
  44  1.0000000e+00 2.13e-04 3.09e+06  -1.1 1.24e-01    -  1.00e+00 1.34e-01f  3
  45  1.0000000e+00 2.09e-04 2.58e+06  -1.1 3.88e-01    -  2.10e-01 2.55e-02h  2
  46  1.0000000e+00 3.91e-03 1.07e+08   1.1 2.39e-01    -  6.31e-01 1.00e+00f  1
  47  1.0000000e+00 2.29e-03 8.01e+07   1.3 1.45e-01    -  1.00e+00 1.00e+00h  1
  48  1.0000000e+00 9.64e-04 1.05e+06   1.3 9.56e-02    -  1.00e+00 1.00e+00f  1
  49  1.0000000e+00 3.61e-03 5.53e+06   1.3 1.73e-01    -  8.67e-01 1.00e+00f  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
  50  1.0000000e+00 3.65e-03 5.51e+06   1.3 9.05e-02    -  1.00e+00 1.00e+00f  1
  51  1.0000000e+00 2.17e-03 5.60e+06   1.3 5.54e-02    -  1.00e+00 1.00e+00f  1
  52  1.0000000e+00 1.69e-03 1.46e+06   1.3 7.82e-02    -  1.00e+00 5.00e-01h  2
  53  1.0000000e+00 1.13e-03 4.25e+06   1.3 1.19e-01    -  1.00e+00 3.07e-01H  1
  54  1.0000000e+00 6.61e-04 2.01e+06   1.3 7.22e-02    -  1.00e+00 1.00e+00f  1
  55  1.0000000e+00 7.30e-04 1.34e+06   1.3 6.67e-02    -  1.00e+00 1.00e+00h  1
  56  1.0000000e+00 7.85e-04 8.80e+06   1.3 7.27e-02    -  1.00e+00 1.00e+00h  1
  57  1.0000000e+00 6.66e-04 9.46e+06   1.3 4.62e-02    -  1.00e+00 1.00e+00f  1
  58  1.0000000e+00 4.75e-04 7.68e+06   1.3 6.83e-02    -  1.00e+00 5.00e-01h  2
  59  1.0000000e+00 3.76e-04 1.29e+06   1.3 8.69e-02    -  1.00e+00 2.96e-01h  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
  60  1.0000000e+00 2.86e-04 1.33e+06   1.3 5.47e-02    -  7.39e-01 2.69e-01h  1
  61  1.0000000e+00 3.33e-04 3.84e+06   1.3 1.19e-01    -  1.00e+00 1.07e-01f  1
  62  1.0000000e+00 3.26e-04 9.98e+06   1.3 5.29e-02    -  1.00e+00 5.00e-01f  2
  63  1.0000000e+00 2.27e-04 2.37e+07   1.3 5.30e-02    -  1.00e+00 5.39e-01h  1
  64  1.0000000e+00 2.61e-04 3.86e+07   1.3 8.19e-02    -  4.80e-01 3.53e-01h  2
  65  1.0000000e+00 2.58e-04 3.86e+07   1.3 7.15e-02    -  1.00e+00 1.14e-02h  1
  66  1.0000000e+00 2.45e-04 4.06e+07   1.3 1.25e-01    -  4.13e-01 1.97e-01f  3
